balti,english
Elder borther, kaka
Crow, Kaaka
Kaaka rang,cucamber
ka ku, wolf
ka ku, beast
ka sked, multi pillar
ka cha, goods
ka cha, articles
ka cheh ri, court of justice
kacho, raja
kati smin mo, blacksmith
katora, cup
karten, support for pillar
kathyu, turned foot finger
kathara, peach
kathang, arrogant
kathangchan,arrogance
kathab,cooking place
kadar, beware
kanastar, canister
kapi,copy
kaba, to bury
kabab, kabab
kara, chitchat
karam, cabbage
karushing,gallows
kalak,mud
kalij,college
kalima,speech
kalimal,basil
kale,share of luck
kale tang ma, to send
kale tong,send
ka lep,flat pillar
kashoq,wooden spoon
kase, wooden box
kafan,shroud
kang kas,poor
kang skin, helper
kang kol,to help
kang kyog,curved
kang khat,to hinder
kang khat, obstruct
kang khris,leg iron
kang khris,restrain
kang go,land lord
kang rga, omen
kang ngan,ill omen
kang jong, towards leg
kang jiring,to fall
kang stong, bare foot
kang thil, sole of the feet
kang then, to support feet while climbing a higher place
kang polo,football
kang phit,bad omen
kang phing,woolen socks
kang phran,four footed
kang bdas,to go after
kang bdas,chase
kang bari,between the legs
kang ma,feet
kang mi,of the feet
kang mi,foot solider
kang mi gat,bone of foot joint
kang mi phrango,the ankle
kang mi shwat,back of side of feet
kang mi so mang,bones of feet
kang mi sen mo,fingers of the foot
kang tse,socks
kang tsot,stanf on feet fingers
kang rtsa,vein of foot
kang rtsis,census
kang zen,bare footed
kang rzes,foot print
kang yond,one with twisted feet
kang lyakh,good omen
kang shing,wooden boots
kang sa,boundry
kang sngon,green foot
kang lham,boot
kang lham,shoe
kaj,button hole
kat tal,piece of slate
kat pa,mud slide
kat byer ba,to cling
kan,mine
kan kan,hind side of knee
kan duru,throat
kan dari,all around
kan ma,to prop
kan sa,place to prop
kane,having prop
kaptan,team captain
kab sa duk,keep
kab za,handle of sword
kab sha,shoes
kab sha,leather
kam chan,unprofitable
kam chan,with little growth
kamander,leader of a group of fighters
kaz bur,bush with throns
kar,motor car
kar toos,cartridge
kar khana,workshop
kar,suffering
kar,pain
kar,grief
kar kong,water course
karnel,colonel
kar pat,complete white
kar pung,white hair
kar par,eagerness
kar pho,white
kar pho rgyuma,large intestine
kar rtsi,whitewash
kar yul,porcelain
kar ling,white
kar lug,white lamb
kal,famine
kal,drought
kal kil,black bitting
kal da,bag
kal da,purse
kal phi,loaded
kal phi,remitted
kal ba,to mount
kal ba,to send
kal ba,to graft
kal ya,coating of tin
kas,crack
kas ka,stairs
kas ka,ladder
kas tan,base of the pillar
kas pa,to brust
kas ong ma,to crack
ka sal,your honour
ka sal,sir
ka sal rmot pa,to call
ka sal rmot pa,to send for
kas na,horn trumpet
kat kat,noise of hen
kat kateg,sound of hen after laying
ki ki,sparrow hawk
ki ti,little goat
ki moq,ant
chimoq,ant
ki tsaraq,prancing of young goats
ki li,hoe
ki li,spud
ki shik,flea
ki sir,bread
ki rik,clue
ki rik mi bya,be silent
ki rik karaq,bending track
ki rik karaq,zig zag
ki rik karaq,twisted path
kik pa,be adorned
kit,small
kit,wee
kit,prancing of goat
kit phang ma,to prance
kt kit bya,apparent love
kt kit bya,tansitory respect
kish,light streak
kish cha,anger
ksh mish,rasin
ku che,slow
ku che,easily
ku che,comfortably
ku naq,oil cake
ku zhing,swallow
ku aat,wide open mouth
ku aat,cooking pain made of stone
ku rum bu,narrow
ku rik,bent
ku laq,ku laq
ku luk,key
ku lung,heron
ku le,slowly
ku le,comfortably
ku shu,apple
ku shu mik,sheep with spots arround eyes
ku aa,skin
ku aa,hide
ku aa,unable to tenderize
ku hu,a species of dove
kuk pa,to bend
kuk pa,to curl
kuk pa,to bow
kub zhi,squat
kur,water measure
kur,inkling
kur,sixth sense
kur chan,intelligent
kur chan,wise
kur chan,shrewd
kur kum,saffron
kul kul,lazy
kul kul,work at slow speed
gul gul,lazy
gul gul,work at slow speed
kul cha, kul cha
kul ni byapho,long leged cock
kushti,wrestling
kek,cake
ko ko,cocoa bean
ko ko,drink
ko kosh,chisel
ko kosh,stone cutting tool
ko ko ring,thistle thorn
ko ko ring,barbed wire
ko khan,listener
ko khan,who understands
ko chan,conceivable
ko chi,in a moment
ko chi,after a while
ko chi chik,after a while
ko chi chik,after a while
ko chi na,after some time
ko chi na,after a while
ko chi skyur ba,to leave for some time
ko chi skyur ba,leave aside
ko dyang,hard
ko dyang,very dry hide
ko tso roq,tickling
ko tsos,dyed hide
ko tse,puppy
ko re,cup
ko re,wine cup
ko re,wooden cup
ko ros,small round pebble
ko ros,oyester shell
ko lukh,intelligence
ko lukh,the sense of hearing
ko lukh,take pleasure of
ko sa?,have you heard?
kosa gwa,to be heard
kosa mi gwa,not be heard
kosa tshhor sa,head and understood
ko sa med,ill governed state
ka sa med,having no response
ko son do,wise
ko son do,prudent
ko son do,clever
kog pa,to snatch
kondaq,oil cake of appricot kernel
kondyaq,a small black colour bird
kon dol,worthless
kob,burry
kob,hide in earth
kor,burry
kor,a hole in mountain
kor kor,semi-circular
kor kor,round
kora kor,cirle
kol,load
kol,keep
kol,use
kol ba,to use
kol ba,to make use of currency
kos ko,chin
koq,snatch
koq,separate
koq,pay off
koq koq,snatch by force
koq ching,cravt
koq ching,necklace
koq phshu,to plunder
koq phsuhu,to loot
koq phushu,snatching
koq phushu bya khan
koq tshhas,throat pain
koq tshhas,bad throat
koq ma,throat
koq ma,larynx
koq ma,gullet
kof ta,meat ball
kya ke,housekeeping kill
kya ke chan,skill full
kya ke chan,manager
kya ke med pi,unskilled
kya ke med pi,clumsy
kya khra,a way of calling goat
kya ba,inter course
kyasar,Hero of Balti folk story
kyak pa,human excrement
kyaq pa,human excrement
kuak long,kite
kyak zari,farmer
kyak zari,friendly birds
kyang,slender
kyang kyong,indolent
kyang kyong,lazy
kyang kong,idle
kyang ma,to stiffen
kyang ma,frozen
kyar,items used on shoes to avoid skidding on ice
kyar kyar,flat
kyar kyar,no global
kyar kyor,weak
kyar kyor,feeble
kyar kyor,infirm
kyal ba,leather bag for storing grains
kyal bu,small leather bag
kyig rtse,unburnt brick
kyir kyir,round
kye re,upright
kye re,erct
kyog,crooked
kyog,bent
kyoq kyoq,crooked
kyog kyog,bending
kyog lam,curved winding path
kyoq lam,curved winding path
kyong,spasm
kyong,twist
kyong,small spade
kyor,weak
kyor,feeble
kra kra,uproar
kra kra,noise
kra ghas,quarrel
kra ghar,fight
kar ghar,hypocrisy
kra ghar dilemma
kra nu,lawn grass
kra ba,desert veg
kra ma,to level
kra ma,to distribute
kra tsu,large spoon
kra le tang ma,to distribute
kra le tang khan,one who distributes
krang,law sut
krang,dispute
krang krang,grass
krang thang,brawl
krang sa,dispute land
krang smang,controversy
krang stat pa,plaint
krang stat pa,petition
krang stat pa,lawsuit
kram khan,one who distributes equally
kara,sixth sense
krar chan,wise
kral khan,distributor
kral bu,small wooden beams
kral bu,left over pieces
kras ma,buckles
kraq,shine
kraq,glitter
kraq,a small muddy colour bird
kraq chan,shining
kraq chan,bright
krakh ma,spike or ear of wheat
krakh ma,barlay
kraghs,row
kraghs,strife
kraghs,discord
kri mong,elbow
kri moq,ant
kri ri,toy spinning on a tip
kri yu,sudden hue
krit,uttered word
krit,a light talk
krit,stream of milk
krit krit ltan ma,be fed up
krit krit ltan ma,to be in distress
krib,news
krib,inkling
krib,sense
krib krab,get a clue
krib krab,inkling
krib krab,sixth sense
kru,corner
kru,closet
kru kru,wind pipe
kru bji,square
kru bji,four corners
kru yas,half open
kru yas,bud
kru sum,triangle
kru sum,three corners
kru aa,berch tree
kruk,broody
kruk lding ma,end of brooding
kruk lding ma,ready for layings
kruk zgong,laying of last egg before brooding
krun krun,long or curly tresses
kruk krun,lock of hair
kre nag,smut
kro,wheat
kro kar,white wheat
kro chos,cheek
kro stros,flour of roasted wheat
kro mar,yellowish red horse with white hair and tail
kro mar,red wheat
krong krong,to stand on kees
krod pa,guts
krod pa,stomach
krob,hard pressed
krob,pressure
krob yal,mortagaging
kron kron,hanging
kron kron,to be suspended in air
kroq choq,filth
kroq choq,bad smell
kroq po,pond
kroq po,filthy
klad,brain
hlad,brain
klad pa,brain
klu,human headed serpent
klu,evil spirit
klung,river
klung sa,cultivated land
klub pa,to cover
klog pa,earwax
klon,chief minister
klon pa,to mend clothe
klon pa,to sew
lhan pa,to mend
lhan pa,to sew
rka,a small canal
rka water channel
rka bar,space in between
rka bu chung,small water channel
rka lo,lock of hair of beloved
rka lam,path along water
rka spang,spade full of earth for blocking water
rka se ri se,with difficulty
rka se ri sa,with lot of desire
rka se ri sa,with a lot of search
rkang,kernel
rkang,result of talk
rkang chan,full of kernel
rkang pha,swell
rkang pha,puffy
rkang pha,be annoyed
rkang ma,to swell
rkang ma,to puff out
rkang mar,oil of walnut
rkang med,brainless
rkang med,stupid
rkang med,uncivilised
rkat pa,swordsmanship
rkat pa,use of club
rkat pa,loose cattle in crop
rkat pa,let loose dog
rkan,palate
rkan,gullet
rkan,part of lock
rkan chad pa, tear out the palate
rkan bu,part of palate
rkan bang,satisfaction
rkan bang gwa,to quench thirst
rkan bab pha,uvula to fall
rkan bab pha,blister on horses uvula
rkan spaq pa,drool
rkan spaq pa,smack lips in craving
rkan skam pha,dry throte
rkan skam pha,tongue to be dry
rkan lyakh mo,soft spoken
rkan lyakh mo,melodious voice
rkaph las,difficult
rkaph las,ardous
rkaph las,tough
rkaph las,hard
rkab las,difficult
rkab las,ardous
rkab las,tough
rkab las,hard
rkab lasi gat,complicated
rkab lasi gat,knotty problem
rkab lasi get,riddle
rkas,skill
rkas,promising
rkas met pa,unskilled
rkas met pa, clumsy
rkah,lock of hair
rkah,hair of head
rkaq pa,kneading of atta
rkaq pa,to mix fodder of cattle
rkaq se,having kneaded
rkva,to steal
rkva chan,habitual thief
rki ma,mix
rki ri,name of mountain flower
rki le phang ma,cover up
rki le phang ma,to make fight
rkim,mix
rkim,adulterate
rkim pa,mix
rkil,cover
rkil,mingle
rkil,implicate
rkil ba,to cover
rkil ba,to mingle
rkil ba,to implicate
rku bu,to steal
rku wa,to steal
rku laq,habit of stealing
rku laq zba laq,thievery
rku le phang ma,to mix thorougly
rku le phang ma,to adulterate
rku se khyong ma,to bring stolen items
rku se gwa,to ge stealthily
rkun ma,thief
rkun ma phoq pa,to steal
rkul ba,to mix something into liquid
rkul ba,to comspire
rkus,steal
rked pa,waist
sket pa,waist
rken,evil spirit
rken,psychopath
rko ba,to dig
rko wa,to dig
rko se tang ma,to dig and bury
rko se phang ma,to dig out
rko se phung ma,to dig and take out
rko se kyung ma,to dig and bring back
rkog ma,throat
rkog ma,neck
rkoth ma,throat
rkoth ma,neck
rkong,water channel
rkong,irrigation channel
rkong go,tip of water channel
rkong pa,water man
rkong bu,earth lamp lit with wick and oil
rkong sa,to repair water course an self-help basis
rkon ma,shortage of grain
rkon ma,famine
rkon mo,shortage
rkon mo,dearth
rkos,dig
rkoq,lower part of foot finger
rkoq pa,to churn incubate eggs
rkoq pa,goal-keeping
rkoq rkoq,snatching by force
rkoq ching,necklace
rkokh khat,chocked throat
rkoth ma,throat
rkoth ma,neck
rkothming khat pa,chocking of throat
lkugs pa,deaf
lkugs pa,silent
lkugs pa,stupid
lkugs pa,dumb
lkog ma,alimentary canal
lkog ma,throat
lkog ma,neck
lkog mudud,wind pipe
lkog mudud,larynx
rkya,weak
rkya,lean
rkya,slim
rkyang,mere
rkyang,solely
rkyang,thin
rkyang,alone
rkyang,wild ass
rkyang ka,pure
rkyang ka,with aulteration
rkyang bu,blackish red coloured horse
rkyang naq,black horse
rkyang ma,footsolider
rkyang mi,footsolider
rkyal ba,to take bath
rkyal ba,to swim
rkyong,come here
rkyong,get lost
rkyong,die here
rkyong ba,to stretch
rkyong ba,to extent
rkyong tse,lamp
rkyong tse,candle
rkyong tse,earthen lamp
rkyong bu,lamp
rkyong bu,candle
rkyong bu,earthen lamp
ska ma,to dry
ska ma,be parched
ska va,blacksmiths tong
skaghar,white hair
skang ma,to fill
skang ma,to stock
skat,eyelet
skat tang ma,put eyelet for weaving
skad,voice
skad,language
skad,slang
skad ngan,bad news
skad ngan,bad tune
skad ngan,bad voice
skad chad pa,to stop talking
skad chad pa,to get annoyed
skad chik,one voice
skad chik,fellow songster
skad chik,say yes to everything
skad chhad pa,stop conversation
skad chhad pa,dead lock in negosiations
skad tang se,to call loudly
skad tang se,to call in a call in a loud voice
skad bzang,good news
skad bzang,good information
skad med,not on speaking terms
skad lyakh,sweet voice
skad lyakh,melodious voice
skad lzoq,spokesman
skam,sterile
skam,barren
skam khoq,dry cough
skam ba,fire tong of a blacksmith
skam bo,very thin
skam bo,weak
skam tri,drying odure
skam thang,dry
skam thang,bare and level plain
skam thang,dry season
skam nad,tuberculosis
skam sa,did it dry
skam se gwa,to dry up
skar,measurement
skar,estimate
skar ba,to weigh
skar ba,to measure
skar ba,to take aim
skar chan,marksman
skar chan,correct assessor
skar chung,small star
skar chen,bright star
skar da,meteor
skar rzi,tock of food items for a party
skar tshhang,milky way
skar ma,star
skar ma juk ring,comet
skar ma mi chik pa,not to match stars
skar ma mi chik pa,not to be on one grid
skar med,useless
skar med,without assessment
skal,share
skal,limit
skal ba,assign
skal ba,to make responsible
skal ba,to order
skal ba chan,helpless
skal ba chan poor
skaska,ladder
skinoq,smut
skinoq,ink stains
ski li senmo,middle fingure
ski se khyong ma,to borrow
skit po,capitalist
skit po,wealthy
skit po,rich
skin,ibex
skin,compensation
skin,revenge
skin return
skin khar,squire formation of ibex in self defence
skin tri,smell of idex hair
skin chen,heavy large ibex
skin mo,borrow
skin mo,loan
skim,silk
skim zda,fine silk thread
skil,middle
skil,center
skil,between
skil la,in center
skil la,in the middle
skil sam la,exactly in the middle
skil sami skil,exactly in the middle
skid tong,month of jamad ul awal
sku ma,tighten
sku ma,curl up
sku ma,shorten
skut,censure
skut,admonish
skut pa,thread
skut pa,connection
skut pa chad pa,break the thread
skut pa chad pa,disregard
skut pa chad pa,break relation
skut pa chhad pa,breaking of thread
skut pa chhad pa,breaking of connection
skut pa chhad pa,breaking a relation
skut po,brother in law
skut bang,to soak in oil
skut bang to massage
skut songs,admonished
skut songs,censured
skur ba,to show round
skar ba,to show round
skuru,wheal
skul,shake
skul,jolt
skul khan,one who shakes
skul ba,to shake
skul ba,to jolt
skus,rub
skus,massage
skus,apply
sku se,having applied
ske,neck
ske,about to deliver
ske,pregnant
ske chhad,condition that cow being sold in undoubttedly pregnant
ske jaq,birthday
ske tang ma,to offer one's neck for a cause
ske rte ma,condition to cut throat
skr rte ma,pledge one's life
ske de,in excess
ske de,increase
ske phang,very loyal
ske phang,to devote life
ske phang ma,last breath of a slaughtered animal
ske phis,gift at birth
ske ba,pregnant animal
ske ba,pregnant cow
ske bar,process of pregnancy
ske bar yod pi,process of giving birth
ske bar chhad phi,termination of pregnancy
ske rab,table of genealogical lineage
ske ragh,muffler
ske ragh,string used in pajama
ske ragh,belt
ske ragh ching ma,cash offered to bridgegroom by bride's family
ske lo,age to give birth
ske lo,birth year
ske se khyong ma,to bring the child home after birth
ske sa,birth place
ske min ma,offer a sacrifice
ske min ma,to present one's neck
sked pa,waist
sked pa,to increase
sked pa,to enlarge
sked shing,wood used for strenthening of wall
sko,thick
sko ru,tongs
skore phang ma,offering alarms
skore phang ma,to leave one at his position of affairs
skong,fill
skon thaq,gift to bridgegroom by brides family
skon ma,to dress
skon ma,to cover
skom,thirst
skom chhu,water to quench thirst
skom chhu,lovely item
skom pha,to be thirstly
skom pha,to wish
skom pha,to desire
skom pa,love
skom pa,hope
skor,shower
skor,give alams
skor,give circle
skor,division of a book
skor ba,to go
skor ba,move
skor ba,to ride round a thing
skor ba,to surround
skor ba,encirle
skor ba,besiege
skor ba,to sacrifies
skor bu,grindstone
skor bu,flywheal
skor skor,make some one go round
skor skor,involve in some affair
skor men doq,violet
skor men doq,aromatic plant
skol,boil
skol,hand over
skol,entrust
skol ba,to boil
skos,advertise
skos,spread
skos,announce
skya,to be born
skya,bear load
skya,to borrow
skya,ladle
skya,oars
skya khur ba,to conceive
skya duk pa,to get pregnant
skya duk pa,to conceive
skya phis,remains on ladle of crooked things
skya mar,frsh butter
skya yod pi,pregnent
skya sa,birth place
skya le kher ba,to adieu guest
skya le kher ba,to see off guest
skya le gwa,to preceed to bid farewell
skya le tang ma,to lose
skya la tang ma,to waste
skya la tang ma,to see off
skya la tang ma,bid farewell
skyang pha,show off
skyang pha,pampering
skyang ma,feign
skyang ma,to show off
skyat pa,to increase
skyat pa,grow
skyal lza,month of shawal
skyaq pa,to spend
skyaq pa,to use
skyi,outer part of skin
skyig pa,to hiccup
skyin,mountain goat
skyin gor,chameleon
skyin thang,hails
skyin thang,snowflakes
skyin pa,loan
skyin pa,borrow
skyin ma,borrow
skyin ma,loan
skyu,morsel
sku se,having applied
sku sa,having rubbed
skyu ra,should I leave
skyu ra,should i withdraw
skyu ra,should i wed
skyu re,leaving aside
skyu re,leaving aside
skyu rum,pickle
skyuk,streching of limbs due to boredom
skyug pa,to vomit
skyug pa,eject
skyur,leaven
skyur,ferment
skyur,leave it
skyur,give in marriage
skyur,hostility
skyur khur,leavened bread
skyur chhu,vinegar
skyur ba,to wed
skyur ba,to leave alone
skyur bu,shrub with pink and yellow sour fruit
skyur mo,sour
skyur juk pha,to ferment
skyur juk pha,create misunderstanding between two lovers
skye ba,be born
skye ba,give birth
skye bo,being
skye bo,human being
skye bo,mankind
skyeng ba,be ashamed
skyeng ba,be regretful
skyeng ser rlung,cold wind
skyed,to grow
skyed,to increase
skyem pa,to be thristy
skyems,thirst
skom pha,to be thristy
skom,thirst
skye tshhe,mustard
skye rags,girdle
skye rags,belt
skye ragh,belt
skyel ba,conduct
skyel ba,to accompany
skyes sdong,banana
skyos,ladle
skyogs,perforated ladle used in cooking and frying
skyogs,large spoon
skyon,fault
skyon,defect
skyon,misfortune
skyon,disadvantage
skyon,lazyness
skyon chan,lazy
skyon med,active
skyon med,alert
skyon med,agile
skyor ba,to recollect
skyor ba,to repeat
skyor ba,to learn by heart
skra,hair of head
skri ba,to guid
skru ba,to wait
skrod pa,to expel
skrod pa,to eject
kwa,to listen
kwa,did you listen
kwat,pan made of carved stone
kwat,stone utensils
kwa med,do not hear
kwa le,to listen
qa,to shout loudly
qa,to call loud
qa,voice of animals
qi ya mat,the Day of Judgement
qibla,direction of Kaba
gir aat,recitation of the Quran with correct pronounciation
qu,to break
qu,to demolish
kha,mouth
kha kar,cattle with white mouth
kha kal,additional load
kha kurum bu,items of slender mouth
kha ked phyung ma,be over critical
kha ked phyung ma,improper fault finding
kha kos,rumour
kha skos,make a noise
kha skor ba,not to give chance to speak
kha skor ba,speaking oneself
kha khor,mouth
kha khor,orifice
kha gab,lid
kha gab,covering
kha gul,one who eats
kha gong,snowball
kha gang so gang,young
kha gang so gang,prime of youth
kha gang so gang,full of life
kha gro,corner of mouth
kha kro,corner of mouth
kha ngan pa,ill tongued
kha chat,lid
kha chat,cover
kha chat pa,to seal
kha chat pa,cover with lid
kha chat pa,to cover
khachar,mule
kha chig,unanimity
kha chig,of one voice
kha chim,will
kha chu,saliva
kha chug su,having closed the opening
kha chug su,having covered with lid
kha chul,territory of Kashmir
kha chuli ose,large millet from Kashmir
kha chuli sar sing,red berry from Kashmir
kha chuli snyer ma,black pepper
kha chus,to take out from top
kha che,Kashmir
kha lcho,secretive
kha lcho,sharp heavy tool
kha chhu,ice water
kha chhu,not lasting
kha chhu,temporary
kha chhu,saliva
kha chhu khad pa,watering from mouth
kha chhu zar ba,slobber
kha chhu zar ba,tempted
kha chhat,cleft lip
kha chhar khlung chhar,snow and wind storm
kha chharu,ill tongued
kha chharu,obscene language
kha chhaq,broken mouth of utensile
kha chhaq,to get separated
kha chhaq,dispersal of crowed
kha jam,unity
kha jam,meeting
kha jam,crowed
kha jam,gather
kha jim,smack the lips
kha jim,taste
kha jim,sweet dish
kha tang,brim full
kha tang ma,snow fall
kha tod,over something
kha trang,telling the truth
kha trang,simpleton
kha rtad pa,to bite
kha rtad pa,attack by wild beast
kha tyang tyang,snow fight
kha tyang tyang,throwing snow balls
kha ltas,to set aside porton for produce in the name of greate ones
kha ston,a festival on first snow fall
kha ston,a cultural sport
kha stro,tight lip
kha stro,a pot with tight cap
kha strung ma,avoid
kha strung ma,abstain
kha strung ma,fast
kha strung ma,dieting
kha tik,animals having white spots on nostrils
kha thang,hurl
kha thang,abuses
kha thang,abuse
kha thab,use foul language
kha thab,call bad names
kha thal,use of abusive language
kha thal,slip of tongue
kha thal ba,may your words have no effect
kha thalba skwa,deny altogether
kha thalba skwa,refuse to eat and drink
kha thalba skwa,refutation
kha thig,assessment
kha thing,weeper
kha thub,abstain
kha thub,regimen
kha thus,seleted
kha thus,elected
kha thos,light tongue
kha thoq,over
kha thoq,soft spoken
kha thoq,be offended quickly
kha dar,shiver lips due to wrath
kha dar,very angry
kha dar so dar,chatter with cold
kha dar so dar,shiver lips due to cold
kha rdum,one with small mouth
kha ldaq,one who licks the lips
kha naq,dog with spots
kha naq,dog with blake jaws
kha put phang ma,make faces
kha put phang ma,mock
kha spyang bya,be soft spoken and get benefit
kha spis,thin layer of snow
kha phit,lightly injured
kha phit,bruise
kha phis,handkerchief
kha phis,napkin
kha phis,tissue
kha phu,threat
kha phu,extorrtion
kha phu,intimidation
kha phut,ball or bundle of thread and wool
kha phus so phus,gnash one's teeth
kha phus so phus,to threaten
kha phe se,with open mouth
kha phoq,snob
kha phoq,censure
kha phoq,rebuke
kha phong,boasting
kha phong tangma,to boast
kha phong tangma,bragger
kha phari,from the mouth
kha phyar,sad
kha phyar,angry
kha phyar,to pull a long face
kha bar,during the conversation
kha bar chad pa,interrupt
kha bar chad pa,to hinder talks
kha bar so bar,to speak with mincing words
kha bar so bar,to speak with difficulty
kha bar laq bar,to cheat
kha bar laq bar,to show cleverness
kha baq,lips
kha baq,mouth
kha ban,wrong message
kha ban,hypothetical
khabi mik,needle eye
khabi mik,from where thread pass
kha bu,bud
kha bu,rose bud
kha bor,breakfast
kha brot,joke
kha brot,chit chat
kha brot,buffoonery
kha med,blunt
kha marmo,talkative woman
kha marmo,mischievous
kha mar lche mar,speak fastly
kha mar lche mar,fretfull
kha mi thal,sweetness served on engagement
kha mi chik,not to agree
kha mi chik,not of one voice
kha mik mal ta,act bodly without seeing anything
kha mik mal ta,indiscreet
kha mun,unintelligent
kha mur,use fool language
kha mur so mur,show lot of rage
kha med lche med,a mute person
kha med lche med,to keep quite even when it is essential
kha tsur,duck with small beak
kha tsokh,snow white
kha tsokh,white
kha tsokh,radiant
kha tse,fork
kha tse,hay fork
kha rtse no,play with snow
kha rtse no,to make figures with fresh snow
kha tshhaq,fly in to rage
kha tshhaq,be angry
kha tshhaq ba,to tease with talk
kha tshhik,buring effect due to use of chillis
kha zar,sharp tongue
kha zar,sharp edge
kha zas,eatables
kha zos,eatables
kha zum,smile
kha zer se,to abuse
kha zer ba,to abuse
kha zos,distribution of sweets and dry fruit on nuptial night
kha yik,many
kha yik,few
kha yik,some
kha yik,certain
kha ing,in the mouth
kha yang,to talk with out thinking
kha ywa,handle of tools
kha yo,twisted
kha ra,sweet
kha ra,sugar
kha ra,kiss
kha ras,ice
kha ras,freezing of water due to extream cold
kha ra tshhon ma,sweet vegitable
kha ra tshhon ma,sugar beet
khari dam bu,suagr cane
khar rud,snow drift
kha rul mo,rotten
kha rul mo,comparison with bear's mouth
khra phoq pa, trip
khra phoq pa,stumble
kha ri,baskit
kha leb,cover
kha leb,lid
kha leb,wooden spade
kha leb zdong bu,flat tip chisel
kha leb zdong bu,tool carpenter
kha lo,rumour
kha loq pa,to reply
kha shig,prank
kha shig,joking
kha shuru,cap of a bottle
kha shuru,cork
kha shuru,cover of a pipe
kha shul,food from which someone has eaten a little
kha shul,left over food
kha she,crooked face
khe shes,dislogue
kha shes,start of a negosiation
kha shor bu,pretend to be soft spoken
kha sar,abusive
kha sar,sharp tool
kha ser,animals with yellow and brown lips
kha so,denture
kha hyat,objection
kha hlaq,surplus
kha hlaq,additional
kha khlab,cold and freezing winds
kha khlab,wave of snowfall
kha khlang,vapour emitting from mouth
kha khlang,breath
kha khlung,gossip
kha khlung,street news
kha khlu,a strip straped at bridle of horse
kha khla,frsh pure butter
kha dim,snow up to the waist
khang,home
khang,drawer
khang go,head of house
khang khang,door to door
khang khor,wanderer
khang chung,small
khang cho,claiming to be owner of house
khang be,divorcee
khang ma,house and house hold goods
khang zdep,neighbour
khang zdep,neighbourhood
khang sa,father in law's house
khab skut,needle and thread
khab skut,stitch
khab,needle
khab,bud
khab thong ma,to appear the ears of grain
khab tse,suffer mouth inflamation
khab tse,equal to a needle
khab tse,thorn
kham,hunger
kham,desire
kham skyur,damson
kham rkul,feel nausea
kham ching ma,be disgusted with eating
kham chu,mouth 
kham chu,lips
kham chu,beak
kham thun duk pa,to live with unanimity and unity
kham phang ma,to vomit
kham phang ma,vomitting
kham byer ba,not to feel hungry 
kham byer ba,to eat less
kham loq,detestable
kham loq pa,detest
kham loq pa,disgust
kham loq pa,abhor
kham saq,pleasentness
kham saq,open mind
kham sang,pleasentess
kham sang,open mind
kham sil,something to boost appetite
kham sil,appetizer
kham sul,mouth and nose
kham khsal pho,feel hungry
kham khsal pho,recover appetite
khar,fort
khar,palace
khar khar,rough
khar khar,uneven
khar chaq,prisoner of fort
khar chaq,day before yesterday
khar chung,small fort
khar chung,small palace
khar chhos,fort type building
khar sna,serrated wall of fort or palace
khar pa,guard of the fort
khar pon,defenders of the fort
khar ba,stick to
khar ba,to get strong
khar ba,to get trapped
khar ba,lead
khar ba,bronze
khar bu,fortress
khar zgaq,laying siege of a fort
khar zgaq,to surround a fort or palace
khar zen,hailstorm
khal,a weighing measure of twenty
